destination_id,destination_city,country,region,avg_annual_temp_c,seasonal_range_c,dry_season_months,cost_per_day_avg_usd,meal_budget_usd,hotel_night_avg_usd,flight_cost_usd,museum_count,monument_count,festival_score,beach_score,scenic_score,wellness_score,culture_score,hiking_score,nightlife_score,family_score,luxury_score,safety_score,tourist_density_score,adventure_sports_score,near_mountains,near_beach,best_season,visa_requirement,english_friendly_score,public_transport_score,latitude,longitude,source_label_hint,travel_style
DST-0001,Kathmandu,Nepal,South Asia,20.0,15.0,"Oct,Nov,Dec,Jan,Feb,Mar",35,4,25,800,8,12,7,1,8,3,6,9,4,3,1,7,5,9,1,0,"Oct-Nov","Visa on Arrival",6,4,27.7172,85.3240,"Himalayas trekking culture temples",Adventure
DST-0002,Queenstown,New Zealand,Oceania,12.0,18.0,"Dec,Jan,Feb,Mar",120,15,95,1100,5,3,5,3,9,4,4,8,6,7,6,9,7,10,1,0,"Dec-Feb","eTA required",10,5,-45.0312,168.6626,"Adventure sports bungee skiing",Adventure
DST-0003,Interlaken,Switzerland,Western Europe,9.0,22.0,"Jun,Jul,Aug,Sep",150,20,120,600,4,2,4,2,10,5,5,9,3,6,7,9,6,10,1,0,"Jun-Sep","Schengen Visa",8,8,46.6863,7.8632,"Alps paragliding lakes hiking",Adventure
DST-0004,Torres del Paine,Chile,South America,8.0,14.0,"Nov,Dec,Jan,Feb,Mar",90,12,70,950,1,1,2,1,10,2,2,10,1,2,1,9,4,9,1,0,"Nov-Mar","Visa-Free",5,3,-51.0000,-73.0000,"Patagonia trekking glaciers wilderness",Adventure
DST-0005,Banff,Canada,North America,2.0,28.0,"Jun,Jul,Aug,Sep",130,18,100,400,3,2,4,1,10,3,3,9,3,5,5,9,6,8,1,0,"Jun-Sep","eTA required",10,4,51.1784,-115.5708,"Rockies hiking skiing lakes",Adventure
DST-0006,Chamonix,France,Western Europe,7.0,24.0,"Jun,Jul,Aug,Sep",140,20,110,350,3,3,3,1,10,4,4,10,2,4,6,9,5,10,1,0,"Jun-Sep","Schengen Visa",7,6,45.9237,6.8697,"Mont Blanc climbing skiing alpine",Adventure
DST-0007,Huacachina,Peru,South America,24.0,8.0,"May,Jun,Jul,Aug,Sep,Oct",50,7,35,700,2,3,3,2,7,2,3,3,3,2,1,7,5,5,0,0,"May-Oct","Visa-Free",4,3,-14.0875,-75.7633,"Desert oasis sandboarding dune buggy",Adventure
DST-0008,Moab,United States,North America,15.0,30.0,"Mar,Apr,May,Sep,Oct",110,15,90,300,2,1,3,1,9,2,2,8,2,4,2,8,5,8,1,0,"Mar-May","ESTA or Visa",10,2,38.5733,-109.5498,"Arches mountain biking climbing desert",Adventure
DST-0009,El Chaltén,Argentina,South America,7.0,16.0,"Nov,Dec,Jan,Feb,Mar",65,8,45,900,1,1,1,1,10,1,2,10,1,1,1,9,3,9,1,0,"Nov-Mar","Visa-Free",4,2,-49.3315,-72.8865,"Fitz Roy trekking Patagonia hiking",Adventure
DST-0010,Pokhara,Nepal,South Asia,20.0,14.0,"Oct,Nov,Dec,Jan,Feb,Mar",30,4,20,750,3,5,5,1,9,3,4,8,3,2,1,7,4,8,1,0,"Oct-Nov","Visa on Arrival",6,3,28.2096,83.9856,"Annapurna trekking paragliding lakes",Adventure
